4.790000, 5.850000
7.850000, 10.420000
15.940000, 18.180000
20.700000, 22.430000
26.200000, 26.680000
33.140000, 33.670000
35.340000, 37.820000
40.790000, 41.770000
60.720000, 61.970000
62.220000, 62.370000
66.460000, 66.690000
68.900000, 69.010000
69.070000, 69.100000
70.280000, 73.220000
73.800000, 76.290000
115.240000, 116.220000
133.490000, 133.750000
133.800000, 135.140000
135.190000, 137.180000
150.560000, 151.040000
152.430000, 153.170000
165.720000, 166.020000
171.660000, 171.790000
174.760000, 176.590000
178.670000, 178.790000
180.480000, 181.710000
185.180000, 185.800000
